Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SFDC-TestSuite,Chrome 70.0.3538.110,,2018-12-09 10:14:06,2018-12-09 10:17:15,3m - 8.795s,PASSED
,,,,,,
Test Cases/TC-001,Chrome 70.0.3538.110,Login to developer.salesforce.com,2018-12-09 10:14:06,2018-12-09 10:14:22,15.508s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-09 10:14:08,2018-12-09 10:14:12,3.880s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-09 10:14:12,2018-12-09 10:14:12,0.306s,PASSED
"navigateToUrl(""https://developer.salesforce.com/"")",Chrome 70.0.3538.110,,2018-12-09 10:14:12,2018-12-09 10:14:18,5.531s,PASSED
PageTitle = getWindowTitle(),Chrome 70.0.3538.110,,2018-12-09 10:14:18,2018-12-09 10:14:18,0.048s,PASSED
"verifyMatch(PageTitle, ""Salesforce Developers | API Documentation, Developer Forums & More"", false)",Chrome 70.0.3538.110,,2018-12-09 10:14:18,2018-12-09 10:14:18,0.034s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-09 10:14:18,2018-12-09 10:14:20,2.019s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2018-12-09 10:14:20,2018-12-09 10:14:20,0.007s,NOT_RUN
,,,,,,
Test Cases/TC-002,Chrome 70.0.3538.110,Search for Writing Tests,2018-12-09 10:14:22,2018-12-09 10:17:03,2m - 41.604s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-09 10:14:22,2018-12-09 10:14:22,0.024s,NOT_RUN
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-09 10:14:22,2018-12-09 10:14:22,0.002s,NOT_RUN
"navigateToUrl(""developer.salesforce.com"")",Chrome 70.0.3538.110,,2018-12-09 10:14:22,2018-12-09 10:14:22,0.010s,NOT_RUN
PageTitle = getWindowTitle(),Chrome 70.0.3538.110,,2018-12-09 10:14:22,2018-12-09 10:14:22,0.003s,NOT_RUN
